GTIN,EXTERNAL_ID,NAME,STOCK,PRICE,MPN,DESCRIPTION,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,IMAGE11,IMAGE12,IMAGE13,IMAGE14,IMAGE15,IMAGE16,CATEGORY,BRAND,COLOR,SIZE,MATERIAL
,diesel-man-blue-1979-sleenker-denim-jeans-blue-31,Diesel Man Blue 1979 sleenker Denim Jeans,1,491.63,,"Diesel Skinny style with a low waist and regular-length, narrow leg from thigh to ankle, designed with a punk-rock attitude in mind. Made from super stretch cotton with partially recycled fibres, this medium blue jean is stonewashed for softness, with handmade whiskers and a tactile 3D finish. Composition: 96% cotton 4% elastomer Made in: Tunisia",https://cdn.shopify.com/s/files/1/0694/0862/0826/files/product-12791-1600833340_87964777-4c1d-4b41-9a79-b1954d522052.png?v=1781158779,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/product-12791-1763104264_e6314762-4743-4c30-9e9e-7db5ce412b37.png?v=1781158779,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/product-12791-446327040_4dca2350-a8a9-44bc-a500-1cf24fede5b9.png?v=1781158779,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/product-12791-1575323299_f7f7a64d-9bcd-4a99-863a-9c215e2a0eeb.png?v=1781158779,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/product-12791-634312631_c2f7b53e-f9a1-4c6a-aed9-df4d545d4756.png?v=1781158779,,,,,,,,,,,,"Jeans, Men",Diesel,Blue,31,
,tramarossa-michelangelo-zip-ss-d515-mens-jeans-6-month-wash-,Tramarossa Michelangelo Zip SS D515 Men's Jeans (6-Month Wash) Blue,1,1072.07,,"Tramarossa Michelangelo Zip SS D515 men's high-waisted jeans in slightly stretch cotton; regular fit, five-pocket style, beige suede logo label on the back. SIZE: W42 COMPOSITION: 87% cotton, 10% T400, 3% elastane WEIGHT: 0.7 kg COLOR: Blue COUNTRY OF ORIGIN: Italy / Romania",https://cdn.shopify.com/s/files/1/0694/0862/0826/files/blau-baumwolle-tramarossa-jeans-60158693-1_2.webp?v=1782297250,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/blau-baumwolle-tramarossa-jeans-60158693-2_2.webp?v=1782297250,,,,,,,,,,,,,,,"Jeans, Men",Tramarossa,Blue,42,
8059024007740,plein-sport-man-hooded-sweatshirt-grey-grey-l,Plein Sport Man Hooded Sweatshirt Grey,1,245.04,,"Hooded sweatshirt, long sleeves, appliqué, contrasting details, logo Composition: 52% cotton, 48% polyester; Season: Autumn; Made in: Jordan",https://cdn.shopify.com/s/files/1/0694/0862/0826/files/Bildschirmfoto2026-06-24um12.11.05.png?v=1782295923,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/Bildschirmfoto2026-06-24um12.11.24.png?v=1782295923,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/Bildschirmfoto2026-06-24um12.11.31.png?v=1782295923,,,,,,,,,,,,,,"Sweatshirts, Men",Plein Sport,Grey,L,
,desigual-handbag-onyx-venecia-2-0-cross-body-bag-white-white,Desigual Handbag Onyx Venecia 2.0 Cross Body Bag White,1,188.89,,"The Desigual Onyx Venecia 2.0 cross body bag is a versatile cross-body bag designed for everyday elegance. This white shoulder bag measures 25 cm wide, 18 cm high, and 13.5 cm deep, weighing just 500 g for effortless carrying. The bag features a detachable handle (45 cm) and a fully adjustable shoulder strap (119–140 cm), allowing you to wear it as a shoulder bag or cross-body style. Crafted from durable polyurethane exterior with a polyester lining, it combines practicality with contemporary design. Includes the bag with tag, shoulder strap, and handle.",https://cdn.shopify.com/s/files/1/0694/0862/0826/files/handtasche-desigual-23saxp72-1001_4.webp?v=1782114319,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/handtasche-desigual-23saxp72-1001_1.webp?v=1782114319,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/handtasche-desigual-23saxp72-1001_2.webp?v=1782114319,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/handtasche-desigual-23saxp72-1001_3.webp?v=1782114319,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/handtasche-desigual-23saxp72-1001.webp?v=1782114319,,,,,,,,,,,,"Handbag, Cross Body Bags",Desigual,White,NOSIZE,
,loro-piana-man-light-polo-in-blue-wool-blue-m,Loro Piana Man Light Polo in Blue Wool,1,969.97,,Loro Piana Short-sleeved polo shirt in 100% wool with button closure. Made in Italy,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/product-16786-1066590645.jpg?v=1780916331,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/product-16786-1708182802.jpg?v=1780916331,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/product-16786-450079935.jpg?v=1780916331,,,,,,,,,,,,,,"Polo Shirts, Polos, Men",loro piana tessuto,Blue,M,
,iceberg-men-laminated-swim-short-blue-blue-xxl,Iceberg Men Laminated Swim Short Blue,2,308.88,,Composition: 100% polyester Color: Rot Manufacturer code: ICE3MBM12 Fit: Regular fit Index: II232M000063804000L Brand: Iceberg,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/unnamed.jpg?v=1781864561,,,,,,,,,,,,,,,,"Swimwear, Boardshorts, Men",Iceberg Beachwear,blue,xxl,
,blauer-mens-sneakers-f3queens01-wax-military-brown-green-43,Blauer Men's Sneakers F3QUEENS01/WAX Military/Brown,1,306.31,,"Lace-up athletic footwear, contrasting details in brown/burgundy, removable footbed, appliqué, logo. Composition: 30% Polyester, 30% Leather, 40% Polyurethane | Season: Spring | Color: Military/Brown | Made in: China",https://cdn.shopify.com/s/files/1/0694/0862/0826/files/4c9b1715329ff593ab99df37636f17cd.webp?v=1779357584,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/c4afef89632cd7ad73517b185a1562b4.webp?v=1779357585,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/41046e24f46b9fa8b44969d9a1d925a0.webp?v=1779357584,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/76e46a98a7428d08baba8f3b931a1a59.webp?v=1779357584,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/F3QUEENS01-WAX_MIL-BRW-Copia-Copia-1536x1162.jpg?v=1779357585,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/7f5853d24fb4738f76254870a360175d.webp?v=1779358073,,,,,,,,,,,"Sneakers, Men",Blauer,green,43,
,burberry-leather-wallet-black-black-one-size,Burberry Leather Wallet Black,1,1557.06,,"Crafted in Italy, this Burberry leather wallet combines refined elegance with practical functionality. Designed for women, it features a secure zip fastening and thoughtfully organized interior with dedicated credit card slots, a documents compartment, and a coin purse. Compact dimensions (19.5 × 10.5 × 2 cm) make it perfect for everyday carry or evening occasions.",https://cdn.shopify.com/s/files/1/0694/0862/0826/files/black-leather-burberry-wallet-63701796-1_2_1.webp?v=1779348500,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/black-leather-burberry-wallet-63701796-3_2_1.webp?v=1779348500,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/black-leather-burberry-wallet-63701796-2_2_1.webp?v=1779348500,,,,,,,,,,,,,,Wallets,Burberry,Black,ONE SIZE,
,napapijri-sneakers-men-yellow-yellow-43,Napapijri Sneakers Men Yellow,1,306.31,,"Material and care Upper material: Leather - Suede, Textile - Textile Contains non-textile parts of animal origin: YES Outsole: High quality synthetic material Insole: Textile Lining: Textile Style and design Other: Textile laces Heel shape: Flat Closure type: Laces Trends: Pastel Toe shape: Round Removable insoles: No Composition: 50% Polyester, 50% Polyurethane, Composition: Spring, Made in: China",https://cdn.shopify.com/s/files/1/0694/0862/0826/files/1777029591.webp?v=1779267266,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/1777029591_2.webp?v=1779267266,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/1777029591_1.webp?v=1779267266,,,,,,,,,,,,,,"Sneakers, Men",Napapijri,yellow,43,
,people-of-shibuya-nagara-pm801-jacket-blue-blue-56,People of Shibuya NAGARA PM801 Jacket Blue,1,433.93,,"Discover the People of Shibuya jacket in blue — People of Shibuya hooded jacket made of technical fabric, two-pocket design, feather stuffed. Hood Pockets Made in Italy Add this People of Shibuya piece to your wardrobe and experience Italian craftsmanship firsthand.",https://cdn.shopify.com/s/files/1/0694/0862/0826/files/large_dbeb129c-d442-4e79-b6e6-a1bf5ac7beb5.jpg?v=1773675480,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/large_33d26999-c247-4d61-8108-1815a0c81994.jpg?v=1773675486,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/large_89d39e84-12de-40ab-a572-243b49d8e634.jpg?v=1773675487,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/large_cfe4b2c9-fd42-48c3-97d1-8780f3a0bc3c.jpg?v=1773675487,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/large_ed901bfe-5cc7-481d-b29a-747fcfce8697.jpg?v=1773675488,,,,,,,,,,,,"Jackets, Coats & Jackets",people of shibuya,Blue,56,
